id,usaf,wban,stname,ctry,fips,state,call,lat,lon,elev,count,max,min,obs
013180-99999,013180,99999,SANDANE,NO,NO,,,61.783,6.183,51.0,1,2007,2007,7
013190-99999,013190,99999,TAKLE,NO,NO,,,61.033,5.383,38.0,3,1987,1979,3
013200-99999,013200,99999,SANDANE/ANDA,NO,NO,,ENSD,61.833,6.117,60.0,22,2005,1984,6987
013210-99999,013210,99999,STRYN,NO,NO,,,61.9,6.55,208.0,12,2009,1979,1863
013220-99999,013220,99999,FORDE-TEFRE,NO,NO,,,61.467,5.917,64.0,14,2008,1977,27
013230-99999,013230,99999,FORDE/BRINGELANDSAS,NO,NO,,,61.4,5.767,319.0,5,2007,1984,429
013250-99999,013250,99999,MODALEN II,NO,NO,,,60.833,5.95,114.0,21,2004,1975,4885
013260-99999,013260,99999,MODALEN III,NO,NO,,,60.85,5.983,125.0,2,2009,2008,231
013270-99999,013270,99999,KVAMSKOGEN/JONSHOGD,NO,NO,,,60.383,5.967,452.0,4,2009,2006,948
013280-99999,013280,99999,KVAMSKOGEN,NO,NO,,,60.4,5.917,408.0,5,1992,1979,23
013290-99999,013290,99999,KVAMSOY,NO,NO,,,60.35,6.267,50.0,5,2009,2005,1581
013300-99999,013300,99999,OMASTRAND,NO,NO,,,60.217,5.983,6.0,2,1996,1995,2
013320-99999,013320,99999,FJAERLAND BREMUSEET,NO,NO,,,61.433,6.767,3.0,4,2009,2006,1184
013360-99999,013360,99999,VOSS-BO,NO,NO,,ENBM,60.65,6.5,122.0,10,1999,1985,761
013370-99999,013370,99999,VOSSEVANGEN,NO,NO,,,60.633,6.433,55.0,5,2009,2005,1597
013380-99999,013380,99999,VANGSNES,NO,NO,,,61.167,6.65,51.0,6,2009,2004,1806
013390-99999,013390,99999,VANGSNES,NO,NO,,,61.167,6.65,53.0,9,1993,1973,419
013400-99999,013400,99999,FET I EIDFJORD,NO,NO,,,60.417,7.283,737.0,5,2009,2005,1406
013410-99999,013410,99999,EIDFJORD-BU,NO,NO,,,60.467,6.867,166.0,18,2007,1983,1652
013440-99999,013440,99999,MJOLFJELL,NO,NO,,,60.7,6.95,695.0,8,2009,1985,1020
013450-99999,013450,99999,OLDEN-VANGBERG,NO,NO,,,61.867,6.75,78.0,3,1987,1985,5
013470-99999,013470,99999,SOGNDAL/HAUKASEN,NO,NO,,ENSG,61.15,7.133,497.0,25,2009,1985,8468
013500-99999,013500,99999,FINSEVATN,NO,NO,,,60.6,7.533,1208.0,7,2009,2003,1970
